ProfileID,DemoID,Age,Gender,Income,Region,Age_L,Gender_code,Inc_L,Inc_Q,Region_code,Region_text,B5ID,O,C,E,A,N
P145,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B01,-1,-1,-1,-1,1
P146,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B02,-1,-1,-1,1,-1
P147,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B03,-1,-1,1,-1,-1
P148,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B04,-1,-1,1,1,1
P149,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B05,-1,1,-1,-1,-1
P150,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B06,-1,1,-1,1,1
P151,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B07,-1,1,1,-1,1
P152,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B08,-1,1,1,1,-1
P153,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B09,1,-1,-1,-1,-1
P154,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B10,1,-1,-1,1,1
P155,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B11,1,-1,1,-1,1
P156,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B12,1,-1,1,1,-1
P157,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B13,1,1,-1,-1,1
P158,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B14,1,1,-1,1,-1
P159,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B15,1,1,1,-1,-1
P160,D10,25,Female,65000,Japan,-1,1,0,-2,1,Japan,B16,1,1,1,1,1
P161,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B01,-1,-1,-1,-1,1
P162,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B02,-1,-1,-1,1,-1
P163,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B03,-1,-1,1,-1,-1
P164,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B04,-1,-1,1,1,1
P165,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B05,-1,1,-1,-1,-1
P166,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B06,-1,1,-1,1,1
P167,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B07,-1,1,1,-1,1
P168,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B08,-1,1,1,1,-1
P169,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B09,1,-1,-1,-1,-1
P170,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B10,1,-1,-1,1,1
P171,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B11,1,-1,1,-1,1
P172,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B12,1,-1,1,1,-1
P173,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B13,1,1,-1,-1,1
P174,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B14,1,1,-1,1,-1
P175,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B15,1,1,1,-1,-1
P176,D11,25,Female,120000,USA,-1,1,1,1,-1,the United States,B16,1,1,1,1,1
P177,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B01,-1,-1,-1,-1,1
P178,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B02,-1,-1,-1,1,-1
P179,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B03,-1,-1,1,-1,-1
P180,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B04,-1,-1,1,1,1
P181,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B05,-1,1,-1,-1,-1
P182,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B06,-1,1,-1,1,1
P183,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B07,-1,1,1,-1,1
P184,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B08,-1,1,1,1,-1
P185,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B09,1,-1,-1,-1,-1
P186,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B10,1,-1,-1,1,1
P187,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B11,1,-1,1,-1,1
P188,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B12,1,-1,1,1,-1
P189,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B13,1,1,-1,-1,1
P190,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B14,1,1,-1,1,-1
P191,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B15,1,1,1,-1,-1
P192,D12,25,Female,120000,Japan,-1,1,1,1,1,Japan,B16,1,1,1,1,1
P193,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B01,-1,-1,-1,-1,1
P194,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B02,-1,-1,-1,1,-1
P195,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B03,-1,-1,1,-1,-1
P196,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B04,-1,-1,1,1,1
P197,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B05,-1,1,-1,-1,-1
P198,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B06,-1,1,-1,1,1
P199,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B07,-1,1,1,-1,1
P200,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B08,-1,1,1,1,-1
P201,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B09,1,-1,-1,-1,-1
P202,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B10,1,-1,-1,1,1
P203,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B11,1,-1,1,-1,1
P204,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B12,1,-1,1,1,-1
P205,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B13,1,1,-1,-1,1
P206,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B14,1,1,-1,1,-1
P207,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B15,1,1,1,-1,-1
P208,D13,55,Male,25000,USA,1,-1,-1,1,-1,the United States,B16,1,1,1,1,1
P209,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B01,-1,-1,-1,-1,1
P210,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B02,-1,-1,-1,1,-1
P211,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B03,-1,-1,1,-1,-1
P212,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B04,-1,-1,1,1,1
P213,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B05,-1,1,-1,-1,-1
P214,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B06,-1,1,-1,1,1
P215,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B07,-1,1,1,-1,1
P216,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B08,-1,1,1,1,-1
P217,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B09,1,-1,-1,-1,-1
P218,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B10,1,-1,-1,1,1
P219,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B11,1,-1,1,-1,1
P220,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B12,1,-1,1,1,-1
P221,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B13,1,1,-1,-1,1
P222,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B14,1,1,-1,1,-1
P223,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B15,1,1,1,-1,-1
P224,D14,55,Male,25000,Japan,1,-1,-1,1,1,Japan,B16,1,1,1,1,1
P225,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B01,-1,-1,-1,-1,1
P226,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B02,-1,-1,-1,1,-1
P227,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B03,-1,-1,1,-1,-1
P228,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B04,-1,-1,1,1,1
P229,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B05,-1,1,-1,-1,-1
P230,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B06,-1,1,-1,1,1
P231,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B07,-1,1,1,-1,1
P232,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B08,-1,1,1,1,-1
P233,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B09,1,-1,-1,-1,-1
P234,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B10,1,-1,-1,1,1
P235,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B11,1,-1,1,-1,1
P236,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B12,1,-1,1,1,-1
P237,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B13,1,1,-1,-1,1
P238,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B14,1,1,-1,1,-1
P239,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B15,1,1,1,-1,-1
P240,D15,55,Male,65000,USA,1,-1,0,-2,-1,the United States,B16,1,1,1,1,1
P241,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B01,-1,-1,-1,-1,1
P242,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B02,-1,-1,-1,1,-1
P243,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B03,-1,-1,1,-1,-1
P244,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B04,-1,-1,1,1,1
P245,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B05,-1,1,-1,-1,-1
P246,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B06,-1,1,-1,1,1
P247,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B07,-1,1,1,-1,1
P248,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B08,-1,1,1,1,-1
P249,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B09,1,-1,-1,-1,-1
P250,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B10,1,-1,-1,1,1
P251,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B11,1,-1,1,-1,1
P252,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B12,1,-1,1,1,-1
P253,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B13,1,1,-1,-1,1
P254,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B14,1,1,-1,1,-1
P255,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B15,1,1,1,-1,-1
P256,D16,55,Male,65000,Japan,1,-1,0,-2,1,Japan,B16,1,1,1,1,1
P257,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B01,-1,-1,-1,-1,1
P258,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B02,-1,-1,-1,1,-1
P259,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B03,-1,-1,1,-1,-1
P260,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B04,-1,-1,1,1,1
P261,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B05,-1,1,-1,-1,-1
P262,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B06,-1,1,-1,1,1
P263,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B07,-1,1,1,-1,1
P264,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B08,-1,1,1,1,-1
P265,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B09,1,-1,-1,-1,-1
P266,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B10,1,-1,-1,1,1
P267,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B11,1,-1,1,-1,1
P268,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B12,1,-1,1,1,-1
P269,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B13,1,1,-1,-1,1
P270,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B14,1,1,-1,1,-1
P271,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B15,1,1,1,-1,-1
P272,D17,55,Male,120000,USA,1,-1,1,1,-1,the United States,B16,1,1,1,1,1
P273,D18,55,Male,120000,Japan,1,-1,1,1,1,Japan,B01,-1,-1,-1,-1,1
P274,D18,55,Male,120000,Japan,1,-1,1,1,1,Japan,B02,-1,-1,-1,1,-1
P275,D18,55,Male,120000,Japan,1,-1,1,1,1,Japan,B03,-1,-1,1,-1,-1
P276,D18,55,Male,120000,Japan,1,-1,1,1,1,Japan,B04,-1,-1,1,1,1
P277,D18,55,Male,120000,Japan,1,-1,1,1,1,Japan,B05,-1,1,-1,-1,-1
P278,D18,55,Male,120000,Japan,1,-1,1,1,1,Japan,B06,-1,1,-1,1,1
P279,D18,55,Male,120000,Japan,1,-1,1,1,1,Japan,B07,-1,1,1,-1,1
