ProfileID,DemoID,B5ID,ScenarioID,Version
P140,D09,B12,S1,V1
P137,D09,B09,S1,V1
P143,D09,B15,S1,V1
P133,D09,B05,S1,V2
P131,D09,B03,S1,V2
P138,D09,B10,S1,V2
P136,D09,B08,S1,V2
P139,D09,B11,S1,V3
P132,D09,B04,S1,V3
P142,D09,B14,S1,V3
P144,D09,B16,S1,V3
P130,D09,B02,S1,V4
P134,D09,B06,S1,V4
P141,D09,B13,S1,V4
P135,D09,B07,S1,V4
P159,D10,B15,S1,V1
P160,D10,B16,S1,V1
P149,D10,B05,S1,V1
P155,D10,B11,S1,V1
P157,D10,B13,S1,V2
P151,D10,B07,S1,V2
P145,D10,B01,S1,V2
P150,D10,B06,S1,V2
P148,D10,B04,S1,V3
P156,D10,B12,S1,V3
P158,D10,B14,S1,V3
P147,D10,B03,S1,V3
P146,D10,B02,S1,V4
P154,D10,B10,S1,V4
P153,D10,B09,S1,V4
P152,D10,B08,S1,V4
P163,D11,B03,S1,V1
P172,D11,B12,S1,V1
P175,D11,B15,S1,V1
P171,D11,B11,S1,V1
P166,D11,B06,S1,V2
P169,D11,B09,S1,V2
P174,D11,B14,S1,V2
P167,D11,B07,S1,V2
P164,D11,B04,S1,V3
P165,D11,B05,S1,V3
P173,D11,B13,S1,V3
P161,D11,B01,S1,V3
P170,D11,B10,S1,V4
P176,D11,B16,S1,V4
P162,D11,B02,S1,V4
P168,D11,B08,S1,V4
P184,D12,B08,S1,V1
P180,D12,B04,S1,V1
P188,D12,B12,S1,V1
P181,D12,B05,S1,V1
P178,D12,B02,S1,V2
P190,D12,B14,S1,V2
P191,D12,B15,S1,V2
P185,D12,B09,S1,V2
P179,D12,B03,S1,V3
P186,D12,B10,S1,V3
P182,D12,B06,S1,V3
P187,D12,B11,S1,V3
P177,D12,B01,S1,V4
P189,D12,B13,S1,V4
P192,D12,B16,S1,V4
P183,D12,B07,S1,V4
P204,D13,B12,S1,V1
P203,D13,B11,S1,V1
P208,D13,B16,S1,V1
P205,D13,B13,S1,V1
P198,D13,B06,S1,V2
P207,D13,B15,S1,V2
P200,D13,B08,S1,V2
P206,D13,B14,S1,V2
P193,D13,B01,S1,V3
P199,D13,B07,S1,V3
P194,D13,B02,S1,V3
P197,D13,B05,S1,V3
P196,D13,B04,S1,V4
P195,D13,B03,S1,V4
P202,D13,B10,S1,V4
P201,D13,B09,S1,V4
P212,D14,B04,S1,V1
P221,D14,B13,S1,V1
P211,D14,B03,S1,V1
P220,D14,B12,S1,V1
P214,D14,B06,S1,V2
P210,D14,B02,S1,V2
P218,D14,B10,S1,V2
P215,D14,B07,S1,V2
P209,D14,B01,S1,V3
P219,D14,B11,S1,V3
P223,D14,B15,S1,V3
P216,D14,B08,S1,V3
P217,D14,B09,S1,V4
P213,D14,B05,S1,V4
P224,D14,B16,S1,V4
P222,D14,B14,S1,V4
P229,D15,B05,S1,V1
P225,D15,B01,S1,V1
P237,D15,B13,S1,V1
P232,D15,B08,S1,V1
P235,D15,B11,S1,V2
P240,D15,B16,S1,V2
P233,D15,B09,S1,V2
P228,D15,B04,S1,V2
P230,D15,B06,S1,V3
P231,D15,B07,S1,V3
P234,D15,B10,S1,V3
P227,D15,B03,S1,V3
P236,D15,B12,S1,V4
P238,D15,B14,S1,V4
P239,D15,B15,S1,V4
P226,D15,B02,S1,V4
P255,D16,B15,S1,V1
P256,D16,B16,S1,V1
P253,D16,B13,S1,V1
P243,D16,B03,S1,V1
P247,D16,B07,S1,V2
P249,D16,B09,S1,V2
P254,D16,B14,S1,V2
P248,D16,B08,S1,V2
P242,D16,B02,S1,V3
P245,D16,B05,S1,V3
P250,D16,B10,S1,V3
P241,D16,B01,S1,V3
P244,D16,B04,S1,V4
P251,D16,B11,S1,V4
P252,D16,B12,S1,V4
P246,D16,B06,S1,V4
P264,D17,B08,S1,V1
P263,D17,B07,S1,V1
P259,D17,B03,S1,V1
P269,D17,B13,S1,V1
P260,D17,B04,S1,V2
P265,D17,B09,S1,V2
P267,D17,B11,S1,V2
P266,D17,B10,S1,V2
P270,D17,B14,S1,V3
P262,D17,B06,S1,V3
P258,D17,B02,S1,V3
P271,D17,B15,S1,V3
P261,D17,B05,S1,V4
P257,D17,B01,S1,V4
P268,D17,B12,S1,V4
P272,D17,B16,S1,V4
P283,D18,B11,S1,V1
P273,D18,B01,S1,V1
P276,D18,B04,S1,V1
P284,D18,B12,S1,V1
P286,D18,B14,S1,V2
P278,D18,B06,S1,V2
P288,D18,B16,S1,V2
P279,D18,B07,S1,V2
P281,D18,B09,S1,V3
P280,D18,B08,S1,V3
P277,D18,B05,S1,V3
P285,D18,B13,S1,V3
P275,D18,B03,S1,V4
P282,D18,B10,S1,V4
P287,D18,B15,S1,V4
P274,D18,B02,S1,V4
P299,D19,B11,S1,V1
P290,D19,B02,S1,V1
P296,D19,B08,S1,V1
P300,D19,B12,S1,V1
P289,D19,B01,S1,V2
P293,D19,B05,S1,V2
P292,D19,B04,S1,V2
P295,D19,B07,S1,V2
P302,D19,B14,S1,V3
P298,D19,B10,S1,V3
P301,D19,B13,S1,V3
P304,D19,B16,S1,V3
P303,D19,B15,S1,V4
P297,D19,B09,S1,V4
P294,D19,B06,S1,V4
P291,D19,B03,S1,V4
P311,D20,B07,S1,V1
P316,D20,B12,S1,V1
P306,D20,B02,S1,V1
P310,D20,B06,S1,V1
P308,D20,B04,S1,V2
P315,D20,B11,S1,V2
P307,D20,B03,S1,V2
P312,D20,B08,S1,V2
P314,D20,B10,S1,V3
P319,D20,B15,S1,V3
P318,D20,B14,S1,V3
P317,D20,B13,S1,V3
P320,D20,B16,S1,V4
P313,D20,B09,S1,V4
P305,D20,B01,S1,V4
P309,D20,B05,S1,V4
P335,D21,B15,S1,V1
P324,D21,B04,S1,V1
P331,D21,B11,S1,V1
P323,D21,B03,S1,V1
P322,D21,B02,S1,V2
P332,D21,B12,S1,V2
P326,D21,B06,S1,V2
P328,D21,B08,S1,V2
P329,D21,B09,S1,V3
P334,D21,B14,S1,V3
P336,D21,B16,S1,V3
P327,D21,B07,S1,V3
P330,D21,B10,S1,V4
P321,D21,B01,S1,V4
P333,D21,B13,S1,V4
P325,D21,B05,S1,V4
P350,D22,B14,S1,V1
P346,D22,B10,S1,V1
P352,D22,B16,S1,V1
P345,D22,B09,S1,V1
P343,D22,B07,S1,V2
P339,D22,B03,S1,V2
P342,D22,B06,S1,V2
P349,D22,B13,S1,V2
P340,D22,B04,S1,V3
P344,D22,B08,S1,V3
P347,D22,B11,S1,V3
P341,D22,B05,S1,V3
P337,D22,B01,S1,V4
P351,D22,B15,S1,V4
P348,D22,B12,S1,V4
P338,D22,B02,S1,V4
P355,D23,B03,S1,V1
P365,D23,B13,S1,V1
P362,D23,B10,S1,V1
P360,D23,B08,S1,V1
P366,D23,B14,S1,V2
P359,D23,B07,S1,V2
P357,D23,B05,S1,V2
P358,D23,B06,S1,V2
P353,D23,B01,S1,V3
P354,D23,B02,S1,V3
P367,D23,B15,S1,V3
P363,D23,B11,S1,V3
P368,D23,B16,S1,V4
P364,D23,B12,S1,V4
P361,D23,B09,S1,V4
P356,D23,B04,S1,V4
P380,D24,B12,S1,V1
P377,D24,B09,S1,V1
P376,D24,B08,S1,V1
P379,D24,B11,S1,V1
P371,D24,B03,S1,V2
P384,D24,B16,S1,V2
P373,D24,B05,S1,V2
P378,D24,B10,S1,V2
P374,D24,B06,S1,V3
P375,D24,B07,S1,V3
P369,D24,B01,S1,V3
P383,D24,B15,S1,V3
P382,D24,B14,S1,V4
P372,D24,B04,S1,V4
P370,D24,B02,S1,V4
P381,D24,B13,S1,V4
P001,D01,B01,S2,V1
P005,D01,B05,S2,V1
P004,D01,B04,S2,V1
P008,D01,B08,S2,V1
P006,D01,B06,S2,V2
P010,D01,B10,S2,V2
P003,D01,B03,S2,V2
P011,D01,B11,S2,V2
P015,D01,B15,S2,V3
P016,D01,B16,S2,V3
P007,D01,B07,S2,V3
P014,D01,B14,S2,V3
P012,D01,B12,S2,V4
P013,D01,B13,S2,V4
P009,D01,B09,S2,V4
P002,D01,B02,S2,V4
P025,D02,B09,S2,V1
P031,D02,B15,S2,V1
P026,D02,B10,S2,V1
P027,D02,B11,S2,V1
P028,D02,B12,S2,V2
P030,D02,B14,S2,V2
P017,D02,B01,S2,V2
P021,D02,B05,S2,V2
P018,D02,B02,S2,V3
P019,D02,B03,S2,V3
P024,D02,B08,S2,V3
P020,D02,B04,S2,V3
P022,D02,B06,S2,V4
P023,D02,B07,S2,V4
P032,D02,B16,S2,V4
P029,D02,B13,S2,V4
P034,D03,B02,S2,V1
P033,D03,B01,S2,V1
P043,D03,B11,S2,V1
P048,D03,B16,S2,V1
P037,D03,B05,S2,V2
P047,D03,B15,S2,V2
P041,D03,B09,S2,V2
P040,D03,B08,S2,V2
P046,D03,B14,S2,V3
P035,D03,B03,S2,V3
P039,D03,B07,S2,V3
P036,D03,B04,S2,V3
P045,D03,B13,S2,V4
P042,D03,B10,S2,V4
P038,D03,B06,S2,V4
P044,D03,B12,S2,V4
P053,D04,B05,S2,V1
P052,D04,B04,S2,V1
P055,D04,B07,S2,V1
P057,D04,B09,S2,V1
P064,D04,B16,S2,V2
P061,D04,B13,S2,V2
P049,D04,B01,S2,V2
P051,D04,B03,S2,V2
P060,D04,B12,S2,V3
P063,D04,B15,S2,V3
P050,D04,B02,S2,V3
P062,D04,B14,S2,V3
P058,D04,B10,S2,V4
P054,D04,B06,S2,V4
P056,D04,B08,S2,V4
P059,D04,B11,S2,V4
P076,D05,B12,S2,V1
P065,D05,B01,S2,V1
P075,D05,B11,S2,V1
P069,D05,B05,S2,V1
P068,D05,B04,S2,V2
P072,D05,B08,S2,V2
P074,D05,B10,S2,V2
P066,D05,B02,S2,V2
P067,D05,B03,S2,V3
P077,D05,B13,S2,V3
P078,D05,B14,S2,V3
P071,D05,B07,S2,V3
P080,D05,B16,S2,V4
P079,D05,B15,S2,V4
P073,D05,B09,S2,V4
P070,D05,B06,S2,V4
P084,D06,B04,S2,V1
P088,D06,B08,S2,V1
P096,D06,B16,S2,V1
P085,D06,B05,S2,V1
P086,D06,B06,S2,V2
P092,D06,B12,S2,V2
P093,D06,B13,S2,V2
P090,D06,B10,S2,V2
P087,D06,B07,S2,V3
P094,D06,B14,S2,V3
P081,D06,B01,S2,V3
P082,D06,B02,S2,V3
P095,D06,B15,S2,V4
P083,D06,B03,S2,V4
P091,D06,B11,S2,V4
P089,D06,B09,S2,V4
P112,D07,B16,S2,V1
P105,D07,B09,S2,V1
P104,D07,B08,S2,V1
P097,D07,B01,S2,V1
P111,D07,B15,S2,V2
P101,D07,B05,S2,V2
P100,D07,B04,S2,V2
P108,D07,B12,S2,V2
P106,D07,B10,S2,V3
P098,D07,B02,S2,V3
P102,D07,B06,S2,V3
P099,D07,B03,S2,V3
P110,D07,B14,S2,V4
P103,D07,B07,S2,V4
P107,D07,B11,S2,V4
P109,D07,B13,S2,V4
P117,D08,B05,S2,V1
P127,D08,B15,S2,V1
P119,D08,B07,S2,V1
P120,D08,B08,S2,V1
P122,D08,B10,S2,V2
P124,D08,B12,S2,V2
P123,D08,B11,S2,V2
P126,D08,B14,S2,V2
P115,D08,B03,S2,V3
P118,D08,B06,S2,V3
P114,D08,B02,S2,V3
P113,D08,B01,S2,V3
P128,D08,B16,S2,V4
P125,D08,B13,S2,V4
P116,D08,B04,S2,V4
P121,D08,B09,S2,V4
P141,D09,B13,S2,V1
P142,D09,B14,S2,V1
P138,D09,B10,S2,V1
P133,D09,B05,S2,V1
P140,D09,B12,S2,V2
P144,D09,B16,S2,V2
P132,D09,B04,S2,V2
P134,D09,B06,S2,V2
P135,D09,B07,S2,V3
P143,D09,B15,S2,V3
P137,D09,B09,S2,V3
P130,D09,B02,S2,V3
P136,D09,B08,S2,V4
P129,D09,B01,S2,V4
P139,D09,B11,S2,V4
P131,D09,B03,S2,V4
P149,D10,B05,S2,V1
P159,D10,B15,S2,V1
P158,D10,B14,S2,V1
P147,D10,B03,S2,V1
P155,D10,B11,S2,V2
P152,D10,B08,S2,V2
P150,D10,B06,S2,V2
P146,D10,B02,S2,V2
P160,D10,B16,S2,V3
P145,D10,B01,S2,V3
P148,D10,B04,S2,V3
P156,D10,B12,S2,V3
P154,D10,B10,S2,V4
P157,D10,B13,S2,V4
P153,D10,B09,S2,V4
P151,D10,B07,S2,V4
P172,D11,B12,S2,V1
P164,D11,B04,S2,V1
P174,D11,B14,S2,V1
P171,D11,B11,S2,V1
P175,D11,B15,S2,V2
P168,D11,B08,S2,V2
P170,D11,B10,S2,V2
P162,D11,B02,S2,V2
P166,D11,B06,S2,V3
P167,D11,B07,S2,V3
P163,D11,B03,S2,V3
P173,D11,B13,S2,V3
P176,D11,B16,S2,V4
P165,D11,B05,S2,V4
P161,D11,B01,S2,V4
P169,D11,B09,S2,V4
P178,D12,B02,S2,V1
P189,D12,B13,S2,V1
P188,D12,B12,S2,V1
P187,D12,B11,S2,V1
P191,D12,B15,S2,V2
P184,D12,B08,S2,V2
P179,D12,B03,S2,V2
P190,D12,B14,S2,V2
P186,D12,B10,S2,V3
P177,D12,B01,S2,V3
P182,D12,B06,S2,V3
P185,D12,B09,S2,V3
P192,D12,B16,S2,V4
P181,D12,B05,S2,V4
P180,D12,B04,S2,V4
P183,D12,B07,S2,V4
P202,D13,B10,S2,V1
P195,D13,B03,S2,V1
P205,D13,B13,S2,V1
P207,D13,B15,S2,V1
P206,D13,B14,S2,V2
P193,D13,B01,S2,V2
P208,D13,B16,S2,V2
P199,D13,B07,S2,V2
P198,D13,B06,S2,V3
P203,D13,B11,S2,V3
P196,D13,B04,S2,V3
P194,D13,B02,S2,V3
P197,D13,B05,S2,V4
P200,D13,B08,S2,V4
P201,D13,B09,S2,V4
P204,D13,B12,S2,V4
P223,D14,B15,S2,V1
P219,D14,B11,S2,V1
P213,D14,B05,S2,V1
P217,D14,B09,S2,V1
P212,D14,B04,S2,V2
P216,D14,B08,S2,V2
P220,D14,B12,S2,V2
P222,D14,B14,S2,V2
P211,D14,B03,S2,V3
P215,D14,B07,S2,V3
P214,D14,B06,S2,V3
P218,D14,B10,S2,V3
P224,D14,B16,S2,V4
P221,D14,B13,S2,V4
P209,D14,B01,S2,V4
P210,D14,B02,S2,V4
P235,D15,B11,S2,V1
P231,D15,B07,S2,V1
P239,D15,B15,S2,V1
P233,D15,B09,S2,V1
P236,D15,B12,S2,V2
P229,D15,B05,S2,V2
P230,D15,B06,S2,V2
P228,D15,B04,S2,V2
P232,D15,B08,S2,V3
P240,D15,B16,S2,V3
P237,D15,B13,S2,V3
P238,D15,B14,S2,V3
P234,D15,B10,S2,V4
P227,D15,B03,S2,V4
P226,D15,B02,S2,V4
P225,D15,B01,S2,V4
P245,D16,B05,S2,V1
P243,D16,B03,S2,V1
P246,D16,B06,S2,V1
P253,D16,B13,S2,V1
P248,D16,B08,S2,V2
P256,D16,B16,S2,V2
P242,D16,B02,S2,V2
P244,D16,B04,S2,V2
P249,D16,B09,S2,V3
P250,D16,B10,S2,V3
P255,D16,B15,S2,V3
P252,D16,B12,S2,V3
P251,D16,B11,S2,V4
P241,D16,B01,S2,V4
P247,D16,B07,S2,V4
P254,D16,B14,S2,V4
P260,D17,B04,S2,V1
P259,D17,B03,S2,V1
P270,D17,B14,S2,V1
P262,D17,B06,S2,V1
P266,D17,B10,S2,V2
P271,D17,B15,S2,V2
P263,D17,B07,S2,V2
P264,D17,B08,S2,V2
P257,D17,B01,S2,V3
P258,D17,B02,S2,V3
P268,D17,B12,S2,V3
P265,D17,B09,S2,V3
P267,D17,B11,S2,V4
P261,D17,B05,S2,V4
P272,D17,B16,S2,V4
P269,D17,B13,S2,V4
P286,D18,B14,S2,V1
P280,D18,B08,S2,V1
P287,D18,B15,S2,V1
P275,D18,B03,S2,V1
P284,D18,B12,S2,V2
P282,D18,B10,S2,V2
P278,D18,B06,S2,V2
P277,D18,B05,S2,V2
P274,D18,B02,S2,V3
P285,D18,B13,S2,V3
P283,D18,B11,S2,V3
P279,D18,B07,S2,V3
P276,D18,B04,S2,V4
P281,D18,B09,S2,V4
P288,D18,B16,S2,V4
P273,D18,B01,S2,V4
P296,D19,B08,S2,V1
P294,D19,B06,S2,V1
P297,D19,B09,S2,V1
P291,D19,B03,S2,V1
P300,D19,B12,S2,V2
P295,D19,B07,S2,V2
P292,D19,B04,S2,V2
P289,D19,B01,S2,V2
P290,D19,B02,S2,V3
P299,D19,B11,S2,V3
P301,D19,B13,S2,V3
P302,D19,B14,S2,V3
P303,D19,B15,S2,V4
P298,D19,B10,S2,V4
P293,D19,B05,S2,V4
P304,D19,B16,S2,V4
P318,D20,B14,S2,V1
P320,D20,B16,S2,V1
P314,D20,B10,S2,V1
P308,D20,B04,S2,V1
P312,D20,B08,S2,V2
P315,D20,B11,S2,V2
P316,D20,B12,S2,V2
P310,D20,B06,S2,V2
P309,D20,B05,S2,V3
P307,D20,B03,S2,V3
P319,D20,B15,S2,V3
P313,D20,B09,S2,V3
P305,D20,B01,S2,V4
P306,D20,B02,S2,V4
P317,D20,B13,S2,V4
P311,D20,B07,S2,V4
P335,D21,B15,S2,V1
P334,D21,B14,S2,V1
P325,D21,B05,S2,V1
P322,D21,B02,S2,V1
P327,D21,B07,S2,V2
P328,D21,B08,S2,V2
P323,D21,B03,S2,V2
P326,D21,B06,S2,V2
P331,D21,B11,S2,V3
P332,D21,B12,S2,V3
P321,D21,B01,S2,V3
P336,D21,B16,S2,V3
P324,D21,B04,S2,V4
P330,D21,B10,S2,V4
P329,D21,B09,S2,V4
P333,D21,B13,S2,V4
P340,D22,B04,S2,V1
P339,D22,B03,S2,V1
P349,D22,B13,S2,V1
P338,D22,B02,S2,V1
P344,D22,B08,S2,V2
P351,D22,B15,S2,V2
P341,D22,B05,S2,V2
P343,D22,B07,S2,V2
P345,D22,B09,S2,V3
P348,D22,B12,S2,V3
P337,D22,B01,S2,V3
P347,D22,B11,S2,V3
P342,D22,B06,S2,V4
P350,D22,B14,S2,V4
P352,D22,B16,S2,V4
P346,D22,B10,S2,V4
P361,D23,B09,S2,V1
P353,D23,B01,S2,V1
P355,D23,B03,S2,V1
P358,D23,B06,S2,V1
P360,D23,B08,S2,V2
P354,D23,B02,S2,V2
P368,D23,B16,S2,V2
P363,D23,B11,S2,V2
P356,D23,B04,S2,V3
P357,D23,B05,S2,V3
P362,D23,B10,S2,V3
P367,D23,B15,S2,V3
P365,D23,B13,S2,V4
P359,D23,B07,S2,V4
P366,D23,B14,S2,V4
P364,D23,B12,S2,V4
P371,D24,B03,S2,V1
P375,D24,B07,S2,V1
P384,D24,B16,S2,V1
P383,D24,B15,S2,V1
P372,D24,B04,S2,V2
P376,D24,B08,S2,V2
P373,D24,B05,S2,V2
P380,D24,B12,S2,V2
P378,D24,B10,S2,V3
P369,D24,B01,S2,V3
P370,D24,B02,S2,V3
P377,D24,B09,S2,V3
P379,D24,B11,S2,V4
P382,D24,B14,S2,V4
P381,D24,B13,S2,V4
P374,D24,B06,S2,V4
P011,D01,B11,S3,V1
P012,D01,B12,S3,V1
P014,D01,B14,S3,V1
P010,D01,B10,S3,V1
P006,D01,B06,S3,V2
P009,D01,B09,S3,V2
P007,D01,B07,S3,V2
P004,D01,B04,S3,V2
P016,D01,B16,S3,V3
P002,D01,B02,S3,V3
P015,D01,B15,S3,V3
P008,D01,B08,S3,V3
P001,D01,B01,S3,V4
P005,D01,B05,S3,V4
P003,D01,B03,S3,V4
P013,D01,B13,S3,V4
P031,D02,B15,S3,V1
P029,D02,B13,S3,V1
P028,D02,B12,S3,V1
P032,D02,B16,S3,V1
P024,D02,B08,S3,V2
P027,D02,B11,S3,V2
P018,D02,B02,S3,V2
P023,D02,B07,S3,V2
P021,D02,B05,S3,V3
P019,D02,B03,S3,V3
P020,D02,B04,S3,V3
P025,D02,B09,S3,V3
P026,D02,B10,S3,V4
P022,D02,B06,S3,V4
P030,D02,B14,S3,V4
P017,D02,B01,S3,V4
P047,D03,B15,S3,V1
P043,D03,B11,S3,V1
P048,D03,B16,S3,V1
P041,D03,B09,S3,V1
P037,D03,B05,S3,V2
P046,D03,B14,S3,V2
P039,D03,B07,S3,V2
P040,D03,B08,S3,V2
P042,D03,B10,S3,V3
P034,D03,B02,S3,V3
P036,D03,B04,S3,V3
P044,D03,B12,S3,V3
P045,D03,B13,S3,V4
P035,D03,B03,S3,V4
P033,D03,B01,S3,V4
P038,D03,B06,S3,V4
P062,D04,B14,S3,V1
P057,D04,B09,S3,V1
P055,D04,B07,S3,V1
P058,D04,B10,S3,V1
P059,D04,B11,S3,V2
P053,D04,B05,S3,V2
P060,D04,B12,S3,V2
P061,D04,B13,S3,V2
P052,D04,B04,S3,V3
P050,D04,B02,S3,V3
P049,D04,B01,S3,V3
P051,D04,B03,S3,V3
P056,D04,B08,S3,V4
P054,D04,B06,S3,V4
P063,D04,B15,S3,V4
P064,D04,B16,S3,V4
P076,D05,B12,S3,V1
P065,D05,B01,S3,V1
P073,D05,B09,S3,V1
P069,D05,B05,S3,V1
P078,D05,B14,S3,V2
P077,D05,B13,S3,V2
P080,D05,B16,S3,V2
P066,D05,B02,S3,V2
P075,D05,B11,S3,V3
P068,D05,B04,S3,V3
P070,D05,B06,S3,V3
P074,D05,B10,S3,V3
P079,D05,B15,S3,V4
P071,D05,B07,S3,V4
P072,D05,B08,S3,V4
P067,D05,B03,S3,V4
P089,D06,B09,S3,V1
P094,D06,B14,S3,V1
P084,D06,B04,S3,V1
P096,D06,B16,S3,V1
P082,D06,B02,S3,V2
P085,D06,B05,S3,V2
P087,D06,B07,S3,V2
P081,D06,B01,S3,V2
P092,D06,B12,S3,V3
P091,D06,B11,S3,V3
P090,D06,B10,S3,V3
P095,D06,B15,S3,V3
P088,D06,B08,S3,V4
P083,D06,B03,S3,V4
P093,D06,B13,S3,V4
P086,D06,B06,S3,V4
P107,D07,B11,S3,V1
P106,D07,B10,S3,V1
P105,D07,B09,S3,V1
P103,D07,B07,S3,V1
P102,D07,B06,S3,V2
P101,D07,B05,S3,V2
P112,D07,B16,S3,V2
P104,D07,B08,S3,V2
P098,D07,B02,S3,V3
P099,D07,B03,S3,V3
P111,D07,B15,S3,V3
P100,D07,B04,S3,V3
P108,D07,B12,S3,V4
P097,D07,B01,S3,V4
P110,D07,B14,S3,V4
P109,D07,B13,S3,V4
P119,D08,B07,S3,V1
P120,D08,B08,S3,V1
P124,D08,B12,S3,V1
P113,D08,B01,S3,V1
P123,D08,B11,S3,V2
P125,D08,B13,S3,V2
P127,D08,B15,S3,V2
P114,D08,B02,S3,V2
P122,D08,B10,S3,V3
P128,D08,B16,S3,V3
P116,D08,B04,S3,V3
P117,D08,B05,S3,V3
P126,D08,B14,S3,V4
P121,D08,B09,S3,V4
P115,D08,B03,S3,V4
P118,D08,B06,S3,V4
P136,D09,B08,S3,V1
P131,D09,B03,S3,V1
P129,D09,B01,S3,V1
P142,D09,B14,S3,V1
P143,D09,B15,S3,V2
P137,D09,B09,S3,V2
P139,D09,B11,S3,V2
P130,D09,B02,S3,V2
P132,D09,B04,S3,V3
P144,D09,B16,S3,V3
P138,D09,B10,S3,V3
P141,D09,B13,S3,V3
P135,D09,B07,S3,V4
P134,D09,B06,S3,V4
P140,D09,B12,S3,V4
P133,D09,B05,S3,V4
P154,D10,B10,S3,V1
P146,D10,B02,S3,V1
P156,D10,B12,S3,V1
P150,D10,B06,S3,V1
P148,D10,B04,S3,V2
P149,D10,B05,S3,V2
P155,D10,B11,S3,V2
P158,D10,B14,S3,V2
P151,D10,B07,S3,V3
P157,D10,B13,S3,V3
P160,D10,B16,S3,V3
P159,D10,B15,S3,V3
P145,D10,B01,S3,V4
P152,D10,B08,S3,V4
P153,D10,B09,S3,V4
P147,D10,B03,S3,V4
P167,D11,B07,S3,V1
